feature,mean,std,min,max
symbol_encoded,9.482774838330394,5.780031903656922,0.0,19.0
sector_encoded,7.141710758377425,4.873151558819578,0.0,15.0
is_option,0.6493239271017048,1.0116525367535458,0.0,3.0
hour_of_day,18.571428571428573,4.030555232650748,9.0,21.0
minute_of_hour,8.537595532039976,16.39976042204707,0.0,59.0
day_of_week,2.3199588477366255,2.02157916635221,0.0,6.0
day_of_month,15.729188712522046,8.756025360701184,1.0,31.0
month_of_year,6.3806878306878305,3.3870199712992903,1.0,12.0
quarter,2.4595532039976487,1.1000047461169358,1.0,4.0
day_of_year,178.75429159318048,103.52560519529021,1.0,365.0
is_market_open,0.2857142857142857,0.45176059113385725,0.0,1.0
fed_funds_rate,0.03203198060688517,0.003570937993454766,0.024056830864416418,0.03886483339581922
treasury_3mo,0.03781687056977132,0.0024797624194383247,0.03026536710163697,0.04204688944438344
treasury_2yr,0.03312194568778378,0.0044169370652368195,0.022121887888872694,0.03887743676839574
treasury_5yr,0.03197099121676866,0.004721935393551852,0.025639983910452156,0.04096245023229039
treasury_10yr,0.03533533892847492,0.004967608157972586,0.023485294000135687,0.042520648522273455
yield_curve_slope,0.0022133932406911473,0.002885823669799515,-0.0038955870515706287,0.00862205765250914
yield_curve_inversion,0.304320987654321,0.4601260125294993,0.0,1.0
delta,0.5340856777520524,0.0027846890676593624,0.5281334501102931,0.5437445343650706
gamma,0.0763733313388654,0.062271741988251035,0.0003390068961780153,0.3730336764008795
theta,-0.10928488682491166,0.3450278371579504,-8.050184491498708,-0.007618064986968004
vega,0.21184391884110568,0.36168718532411204,0.011784184561355186,8.333537099434908
rho,0.07662729107949742,0.12463435362516612,0.004153275828776074,2.847578961289134
implied_volatility,0.2324447249949261,0.1002031277736735,0.11803343501242511,0.6
avg_sentiment,0.008918393934670275,0.1286299025806852,-0.4832128992641691,0.8057823367074544
news_count,2.058994708994709,1.5535229639213997,0.0,20.0
close,185.9511396245473,317.7305261181178,10.34000015258789,7320.0
open,186.02938673346793,317.4087163422474,10.26010738666789,6945.0
high,188.86006300364193,330.89576247124506,10.560372304439403,7685.0
low,183.43718617811086,307.19368361427433,10.199783177940724,6555.0
volume,18878019.33589065,22232979.653472178,17425.0,280615000.0
return_1d,0.00011646770991464174,0.021825485709100853,-0.3162088163263609,0.583034334523528
return_5d,0.0007650295175051515,0.04572210554777765,-0.5143273469697798,1.4424673080908683
return_20d,0.0022463687950516164,0.07931670191489697,-0.5418488096594531,1.86369964449214
rsi_14,52.070236374129514,16.623035026955417,0.0,98.99384857332788
macd,-1.5260484013998634,20.188147668295084,-488.1895420173973,276.23708025537417
macd_signal,-1.555212657575203,19.56254446203153,-474.5311699457125,111.94921851547122
volume_ratio,1.0159572470359137,0.3933962081931735,0.082147992222444,6.972227062292811
atr_14,5.930403600659511,28.293411767974604,0.2468234805197754,626.4285714285714
bb_upper,201.63157553354927,391.6336609262029,11.093056899160942,7134.3100153228725
bb_lower,174.22924807355636,280.1209256983031,7.779848337875602,5198.260380386692
bb_position,0.5336231842548845,0.3240989200138734,-0.4424183740569706,1.4861927915155606
sentiment_momentum,0.0025183817303471388,0.013472182123706893,-0.023784081343371642,1.1623146781375713
volume_rsi_signal,0.029660859031251357,0.38717661387318936,-3.772481583454542,3.608726477770718
yield_volatility,0.012469475118531966,0.07695630336258474,-0.1804470795528067,2.264087326963539
delta_iv,0.12420146814593079,0.054072966053177005,0.06338875017003467,0.32534864626464466
macd_volume,-1.5970034194720164,21.065187405174342,-708.2312287677023,447.59212919908475
bb_momentum,0.00235474134588797,0.0173874144377337,-0.2589636693161847,0.8462181864515368
sentiment_strength,0.007886030085404994,0.14493531759471434,-0.8471942188492175,0.9837083158230379
rate_return,8.162575177082943e-05,0.0025398477747018335,-0.01974398526615342,0.06536187985479237
gamma_volatility,0.11360302696286927,0.04060097402302799,0.027325975473746537,0.8576262622280261
rsi_bb_signal,0.3237489908790041,0.24609905942290763,-0.12826045392073568,1.278551649265378
price_direction,0.5128159905937684,0.4998430697643034,0.0,1.0
trend_strength,0.0602880658436214,1.3744245572618023,-2.5,2.5
price_above_ma5,0.52445620223398,0.49940887599765643,0.0,1.0
price_above_ma20,0.542092886537331,0.498232361107189,0.0,1.0
momentum_3d,0.00042141571716934926,0.03179363690676241,-0.38886191160363953,1.1544516942680627
macd_signal_direction,0.5161375661375661,0.49974685605661,0.0,1.0
volume_trend,0.4240446796002352,0.4942043793306026,0.0,1.0
recent_win_rate,0.5125940039939157,0.19885251158876532,0.0,1.0
